N,lambda,R,min_P2,rho_at_min,P2_negative,n_valid
2,0.006158482110660267,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.006158482110660267,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.006158482110660267,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.006158482110660267,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.006158482110660267,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.011288378916846888,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
